artist,track,album
"PEDRO SAMPAIO, MC Meno K & Melody",JETSKI,JETSKI - Single
Grupo Menos É Mais & Simone Mendes,P do Pecado (Ao Vivo),MOLHO (Ao Vivo) - EP
Marina Sena & Psirico,CARNAVAL,MARINADA vol.01 - EP
Bad Bunny,DtMF,DeBÍ TiRAR MáS FOToS
Bad Bunny,BAILE INoLVIDABLE,DeBÍ TiRAR MáS FOToS
"PEDRO SAMPAIO, Mc Gw, Mc Jhey & MC Rodrigo do CN",SEQUÊNCIA FEITICEIRA (feat. MC Nito),SEQUÊNCIA FEITICEIRA (feat. MC Nito) - Single
Grupo Menos É Mais & Nattan,Pela Última Vez (Ao Vivo),MOLHO (Ao Vivo) - EP
Taylor Swift,The Fate of Ophelia,The Life of a Showgirl
"DJ Japa NK, MC Meno K, MC Ryan SP & Mc Jacaré",Posso Até Não Te Dar Flores (feat. DJ DAVI DOGDOG),Posso Até Não Te Dar Flores (feat. DJ DAVI DOGDOG) - Single
Grupo Menos É Mais,Coração Partido (Corazón Partío) [Ao Vivo],Coração Partido (Corazón Partío) [Ao Vivo] - Single
"Anitta, Felipe Amorim & HITMAKER",GOSTOSIN,Ensaios Da Anitta
Bad Bunny,NUEVAYoL,DeBÍ TiRAR MáS FOToS
Diego & Victor Hugo,Tubarões (Ao Vivo),Tubarões (Ao Vivo) - Single
Bad Bunny,Tití Me Preguntó,Un Verano Sin Ti
Léo Santana & Melody,"Desliza (""Ólhinho"" No Corpinho)","Desliza (""Ólhinho"" No Corpinho) - Single"
Grupo Menos É Mais & Matheus Fernandes,Lapada Dela (Ao Vivo),Confia (Ao Vivo)
Alex Warren,Ordinary,Ordinary - Single
Marina Sena,Numa Ilha,Numa Ilha - Single
Panda & MJ Records,Eu Te Seguro (Ao Vivo),Eu Te Seguro (Ao Vivo) - Single
Gusttavo Lima,Retrovisor,Feito À Mão Vol. 01
